label,src_ip,src_port,dst_ip,dst_port,dst2src_bytes,src2dst_bytes,protocol,bidirectional_duration_ms
udp,10.105.10.61,53456,10.105.11.255,1947,0,82,17,0
udp,10.105.10.55,58418,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,58418,ff02::1:3,5355,0,176,17,420
udp,fe80::a861:4965:d154:9a39,56591,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,56591,224.0.0.252,5355,0,136,17,419
udp,10.105.10.61,59348,8.8.8.8,53,87,71,17,66
udp,10.105.10.61,59348,8.8.4.4,53,87,71,17,83
icmp,10.105.10.61,0,142.250.74.46,0,296,296,1,3081
udp,fe80::8db8:8ebc:e236:794f,62248,ff02::1:3,5355,0,196,17,420
udp,10.105.11.201,62248,224.0.0.252,5355,0,156,17,420
udp,fe80::8db8:8ebc:e236:794f,50349,ff02::1:3,5355,0,196,17,419
udp,10.105.11.201,50349,224.0.0.252,5355,0,156,17,420
udp,fe80::8db8:8ebc:e236:794f,50204,ff02::1:3,5355,0,196,17,416
udp,10.105.11.201,50204,224.0.0.252,5355,0,156,17,416
udp,fe80::8db8:8ebc:e236:794f,54312,ff02::1:3,5355,0,196,17,415
udp,10.105.11.201,54312,224.0.0.252,5355,0,156,17,415
udp,10.105.10.64,58279,239.255.255.250,1900,0,868,17,3002
udp,fe80::5a3:c7ad:75e3:f374,546,ff02::1:2,547,0,942,17,31029
udp,10.105.11.201,52167,224.0.0.252,5355,0,156,17,419
https_download,0.0.0.0,0,1.1.1.1,0,843052,13915,6,178899
https_download,0.0.0.0,0,1.1.1.1,0,3111172,46886,6,167161
https_download,0.0.0.0,0,1.1.1.1,0,2570834,62960,6,175424
https_download,0.0.0.0,0,1.1.1.1,0,938003,26232,6,103748
https_download,0.0.0.0,0,1.1.1.1,0,827007,38840,6,164655
https_download,0.0.0.0,0,1.1.1.1,0,3646261,24826,6,162096
https_download,0.0.0.0,0,1.1.1.1,0,3430855,55298,6,121372
https_download,0.0.0.0,0,1.1.1.1,0,3304844,54098,6,168657
https_download,0.0.0.0,0,1.1.1.1,0,1933759,15065,6,147866
https_download,0.0.0.0,0,1.1.1.1,0,724356,22518,6,113581
udp,10.105.11.201,58872,224.0.0.252,5355,0,156,17,419
udp,fe80::8db8:8ebc:e236:794f,52167,ff02::1:3,5355,0,196,17,419
udp,fe80::8db8:8ebc:e236:794f,58872,ff02::1:3,5355,0,196,17,419
udp,fe80::8db8:8ebc:e236:794f,64920,ff02::1:3,5355,0,196,17,416
udp,10.105.11.201,64920,224.0.0.252,5355,0,156,17,416
udp,fe80::8db8:8ebc:e236:794f,53348,ff02::1:3,5355,0,196,17,416
udp,10.105.11.201,53348,224.0.0.252,5355,0,156,17,416
udp,10.105.10.61,53494,8.8.8.8,53,81,65,17,78
udp,10.105.10.61,53494,8.8.4.4,53,81,65,17,59
icmp,10.105.10.61,0,104.77.212.186,0,296,296,1,3044
udp,10.105.10.110,49586,239.255.255.250,1900,0,868,17,2975
udp,fe80::a861:4965:d154:9a39,63322,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,63322,224.0.0.252,5355,0,136,17,419
udp,10.105.10.55,64112,224.0.0.252,5355,0,136,17,418
udp,fe80::a861:4965:d154:9a39,64112,ff02::1:3,5355,0,176,17,418
udp,10.105.10.107,49255,239.255.255.250,1900,0,868,17,3016
udp,10.105.11.201,60620,224.0.0.252,5355,0,156,17,420
udp,fe80::8db8:8ebc:e236:794f,60620,ff02::1:3,5355,0,196,17,419
udp,fe80::8db8:8ebc:e236:794f,64380,ff02::1:3,5355,0,196,17,419
udp,10.105.11.201,64380,224.0.0.252,5355,0,156,17,419
udp,fe80::a861:4965:d154:9a39,53448,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,53448,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,52112,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,52112,224.0.0.252,5355,0,136,17,420
udp,fe80::8db8:8ebc:e236:794f,52477,ff02::1:3,5355,0,196,17,415
udp,10.105.11.201,52477,224.0.0.252,5355,0,156,17,413
udp,10.105.11.201,54621,224.0.0.252,5355,0,156,17,413
udp,fe80::8db8:8ebc:e236:794f,54621,ff02::1:3,5355,0,196,17,413
http,10.105.10.61,61311,8.8.4.4,443,3490,2122,17,136
http,10.105.10.61,52629,104.94.106.78,443,3197,1816,6,229
udp,10.105.10.109,56545,239.255.255.250,1900,0,868,17,3029
udp,10.105.10.61,61583,8.8.8.8,53,103,71,17,30
icmp,10.105.10.61,0,104.244.42.193,0,296,296,1,3123
udp,fe80::a861:4965:d154:9a39,58579,ff02::1:3,5355,0,176,17,421
